sent,label
Can you remind me about one more thing?,1
Remind me at 11 am to do my PE project,1
Can you remind me about my Books at 9:50 am,1
Remind me to finishmy snap registration,1
Do I need to enable the reminder gain and again,0
Remind me to send a mail to Pooja bajaj at 9 in the night,1
And set 2 remainder also,0
Can you set an reminder for me?,0
I would need you to remind me of some action items,1
Remind me about NGO,1
Pls tell me more about haptik,1
8:00 AM,0
Thanks i received a call,0
Set the schedule,0
Remind me in six months,0
Another reminder for making a transfer certificate for vihaan,1
Business meeting to Chitradurga on 23 Nov 2016,1
Set this reminder on 902109077,0
Remind me to buy eggs at 9:11 pm today,1
8th may 12 o clock,0
Need to set one more alarm,0
remind about mastrubating,1
Remind me at 9:15p.m. today on 23 december 2016,0
Dint get the reminder last time,0
Hello Gloria!,0
Wish Birthday Name: Rashmitha Date: April 14,0
10-Dec,0
This one remind me to get the box from my friend's place.,1
Remind me for my leave plan for Jan,1
263/pw/10 Pl remind on 6/2/17,1
remind me tommorow to fill my loan application,1
Just remind me to go outside at 4:00 pm,1
Remind on 22 nov,1
Hi can u please remind me about time end of newspaper,1
I need a reminder for November 2017,0
Thanks for this awesome reminder 😊,0
Remind me of vedant appointment cardiologist at 11 am on21 november,1
Can you tell how to set dnd,0
remind me to wish chiriya,1
Remind me to attend Yashraj's engagement,1
Remind me my lpg Botel booking,1
Remind me to buy excel matic today @ 8.00 pm,1
Pls remind me to attend marriage on 21 January 9 am of Patel at keshavbag party plot,1
Can u pls set an alarm for 8 in the morning for tomorrow,0
Remind me on 7th January at 8 pm for TV program,1
Hi Good Morning .. Thanks for this assistance... Yes pls help me out with to do list,0
Old remember and this same,0
Hey can you remind me every 1 hour from 8am to 12 pm everday?,0
Sure i will aftr wkeup call,0
Remind me to pack for my college by tomorrow 5pm,1
I am done with my schedule,1
Remind me about it rectification,1
Amd please remind me to do microbial metabolism at 11am today,1
Just remind me every 1 of every month,0
Today 745 am,0
tell me about this,1
Remind me for Monday's interview with govt of India,1
Plz remind me only in afternoon,0
Thank u soooo much for reminding me 😘😘😘,1
OK ! I am about to do it !,1
Abhi tho remind kiya dhas minute ke pehle 😂,1
Everyday reminder,0
Three alarms,0
Also.. Plz remind me to collect diary from shop tomorow at 7.30 pm,1
Hey,0
Remind me for recharge,1
Please remind me about my bike service to be given on 28 th of thismonth.,1
Plz remind every year,0
Please set a general reminder every hour .please call,0
Can you Please set a reminder for tomorrow,0
Please set a reminder,0
Can I get two calls?!,0
Also I need to deposit 20K in my savings account for recurring deposit on 20th,1
Plz set a reminder to watch channel,1
Hey sis do remind me on 11th of Jan..1 more to go 4 Amitesh birthday,1
Can I plz make this reminder for whole week....,0
Pl remind today at 8 pm to keep blanl cheque,1
What was my reminder of today 10 am,0
Mere 2no reminder active hai ?,0
Remind me to eat egg at 5:45 PM today.,1
Shraddha another one reminder please can you do this?,1
Plz remind me about today's tasks????,1
Ok please send me the reminder,0
Give me a reminder to send mail by 10:40 now,1
So WL u b available 24x7 means if i set a reminder late night thn?,1
Deactivate reminder,0
Remind me to collect collect the brail from the blind school on 14,1
Why i have a call from haptik?,1
Remind me to take bath at 12:30 Today,1
Remind me of pavan cheated upon james,1
Please deactivate all alarms,1
Is it possible to remind me everyday?,1
Can u set reminder for me !,0
Only reminder,0
Could you please remind me to keep the money in kitchen tomorrow at around 10:40am,1
Need another reminder to set,1
Ok thanks for remember,0
Please message me instead of calling,1
18dec 12:00 pm schedule Pintu didi lunch,0
Please tell us about haptik software,1
1.30 pm Reminder: shankar test,0
There were some of my reminders for this month on other phone and now I have a just changed,1
8.00 am,0
Your reminder is 1 day reminder,0
Alarms after 8 pm also needed,0
This is tomorrow's study schedule,1
Pls make sure all my reminder r with the content,0
thx for reminding,0
Yes.....i want u to remind me that every day,0
Remind me to send my wife a gift,1
Sorry . Got a little late. Will schedule my tasks later.,1
Reminder after 15 min,0
Remind me on 10th Dec morning 4am to take gold flower's and bro mariage clothes..,1
Remind me to uninstall you,1
Also remind me to check harish's computer.,1
Rahulji HI calling at 7pm today 7891044451,1
Can u give a fake call,1
I have got 1 more reminder,1
Thanks for reminding me,1
Reminder Appointment for driving licenses,1
Please remind me to repair my wife's phone at 10am tomorrow,1
Actually set a alarm for 5 tomorrow morning .,0
Yup! Tysm for reminder...😇😃,0
Set 10 am to 10 pm,0
Can u like play a song rather than calling,1
Remind me tomorrow for visiting new house,1
Date: November 21,0
Sorry please make it 8.45 pm for Reminder,0
Set a reminder at 8 am as well,0
Remind me after another half an hour,0
Remind me to check a website in two days,1
Sould i have to recieve the call??,1
Can you just send me reminders through SMS?,0
Reminder on Monday at 11 am to go to guru Ji,1
I need a call at that time,1
Coll me to remind,1
Can u plz remind me the same tomorrow at 2pm,0
3 reminders please,1
I need an alarm,0
Can you set an alarm at 9 pm,0
Can you tell me if i have any reminders set?,1
Plz remind from 8:00 am to 10:00 pm,0
Also remind me to cal Daya handloom on 16-11-2016 at 11:30am,1
Can you please remind me tomorrow at 9pm to start research work,1
Reminder was set up at 6,0
Remind me abt tuition at 8:15,1
I need to set a reminder,0
Shave and carry shaving kit reminder tomorrow at 815 am and again at 830 am,1
Reminder.. In the morning by 9:30a.m to check out Vodafone bill payment,1
Remind me at 7 pm today for massage,1
Remind me at 8.45 am today,0
Set a reminder for 1.20 pm,0
Remind me about take a test at 9 am,1
Will you call me even if iam online on haptik,1
Please set a reminder for 5th jan 17 for to ask ritika for balance confirmation circularisation,1
Remind me to get some info about dentistry... Tomorrow 11 am,1
Remind me on 7 Nov 12pm for Venus payment.,1
Remind me about diwo today @5pm,1
Hi. Remind me at 2:45pm today to leave for driving class,1
Set alarm at 6:15am,0
By call??,0
Set a reminder on Thursday and Friday at 7 and 8 pm,1
Friday evening 6o clock make a reminder of reminding chetan sir for the gift,1
Reminder me for IAS application form,1
Hi..remind me of sending important message to my teacher at 4:30pm,1
Also Reminde me to cal maruti,1
Tell me one thing I'm just lit bit curious about reminder call..,1
Set reminder for raising travel request,1
Gm,0
I want to set time myself,0
Reminder? For what?,1
Please remind to process hyderabad rent payment tomorrow 4pm,1
I want a reminder to catch a flight tomorrow at 6pm,1
Remind me at 12 noon,0
Remind me to shop in myntra tomorrow,1
Two call with 15 min intervel,1
Remind me to tell him abt job preferences at Pune and get advice,1
Please would you remind me at 9:40 pm,0
The reminder should be at 1215,1
Yeah...but can you schedule it from sunfay,0
Movie schedule for Sunday at inox Panajim,1
I got reminder now,0
Good morning Naqiyya,0
Remind that ppt today 6.00pm,0
Is there a reminder tone,1
Call Deepak on 9 A.M tomorrow,1
Reminder to give money back to vel,1
i want sms reminder every 1 hour 2 min..... from 8:00 pm,0
I want to set up reminder,0
Call me at 6.30am,0
Set me a reminder to wish my friend birthday on 10th December,1
Remind me at 2:30 pm that it's 27%,0
Why general? I need specific reminder with the task discription,0
Remind me to go to movie dangal at 7pm,1
Do you know what to remind me about,1
Could u pls set a reminder for me,0
Remind me to message ANIL PIE on 27th morning at 10:00 am,1
Can u tell me something about u?😜,1
Visit puma store reminder at 630pm today,0
Can you please give a call around 4 .30 pm IST,0
Reminde me aftr 1 hour,0
Do we need internet for Marvel Future fight.,1
Could you please remind me for wish my friend for birthday.... today at 9am,1
set a reminder for me,0
Remind me today at 11 pm about sarkari noukari,1
Oh yes! But right now there is nothing that I would like to be reminded about.. I will let you know if I need.,1
Remind me to to go to Austria on 3 march,1
Thank u,0
1/2 tab of Stamlobeta at 9.30 AM,1
6am,0
thanks for the remainder,0
Remains Me about going to Yusof home on 9.30 am,1
And please remind me at sharp 8:30,0
Ok thnx for reminding me,0
Change my self study remainder from 12:00 pm to 10:15 am,0
Remind me of gng to Suhas Arc by 12,1
Hi samreen remind me to have a walk per one hour,1
Please set reminder for 9 pm to pay lic premium,1
Please remind me at 5:45,0
I want the reminder from 10 am till 8 pm in the night at the interval of 1 hour,0
Remind me at 2:42 pm today,0
Reminder fr gym,1
Remind me with notification,0
Wish Birthday Name: Archana Atrawalkar Date: January 23,0
Thnx 2 remind me,0
Remind me of calling at vyas classes tomorrow at 10.30 am,1
Remind me evening time provide some data to a person,1
Today 7pm remind to go to see office,1
Can you remind me for,1
Remind me to book train ticket at 1030,1
A reminder a 7 pm as well,0
Add alarm,0
Could you please remind me for on January 7 for watching sherlock holmes season 4 on axn,1
Set a reminder at 1.00 pm to get ready for class,1
Pleade tell me about alto and wagonR,1
Remind me to go to bhagyashrees place @8:20,1
Can u remind somebody else too on my behalf?,1
Put up a general reminder for "form omkar" at 8:30am tomorrow,1
If I m offline then also u reminds me,0
Remind me of reading newspaper loudly,1
But how to indicate which schedule is this,1
7:00 AM,0
Ring *,0
Yes I would like you to remind me everyday starting from tomorrow,0
Who is better? Sir Dhruneal or Mr. Doshi?,1
How to manage reminders,1
Dismissed schedule.,0
Set reminder for today on 7.20pm,0
Can u plz remind me for a webinar at 4pm today,1
Reminder for Sunday 15 Jan birthday party for friend 's daughter,1
Set reminder for 9:45am 9:50am,0
Will u ring,1
On 2 Jan around 9pm,1
I want a reminder every Friday by 9:00 pm that I have practicals on Saturday,1
Actually I have to email them. Remind me please,1
So how you will remind me.,0
Remind me at 2.30 pm today for NRI account.,1
Sory Sory..unknowingly I pressed it again..jus one reminder is enuf,1
Can u help me remind my boyfriends birthday whc is on 22dec,1
Set Alarm from 4:40AM to 5:00AM,0
Remind me at 11.55am about lenovo fab sell on Flipkart,1
Can you remind me to send an email to Raghu tomorrow morning @ 10am,1
Call me at 6 am and 6.40 am on 11 nobember,1
5:00 AM,0
Remind me tomorrow at 2 pm SBI CC bill payment,1
Remind me to charge battery at 8 am tomorrow,1
Thanks...for reminding me,1
Remind me to pay rs 3500 to depak,1
Keep reminding me of studying hard. Tell me everytime that I have to be a Good Doctor.,1
CAn u pls dismiss this reminder,0
Set Alarm from 4:40AM to 5:00AM,0
Calling tomorrow rakesh kumar Jain at 12:30 pm,1
Remind me at 9pm today. I need to fill a forn,1
Nope! Thank u for reminding,0
Remind me onthis 9th to do recharge,1
Remind me to make a presentation by 10am for debreif Spain trip,1
Hi,0
I need this reminder every Saturday at the same time,0
Tata sky recharge remind me on 7th Jan at 3 clock,1
Schedule to meet imran by 9 30pm today,1
I want to add one more b'day reminder,1
And what should go on my to-do list?,1
i would like this reminder every day,0
Iam little bit lazy so u can set one more alarm of 8 15am?,0
Call sanjay,1
Remind me to buy book tomorro at 8:00 am,1
Would like to set one more reminder,0
Remind me to take print out of my flight tickets,1
Remind me to go to washroom at 3am,1
Remind me in 2:00pm clock,0
For both the reminders,1
I want one reminder,0
Plz remind me for booking of Train ticket today at 10:45,1
I m getting irrigating from lot of calls from haptik,1
I can remember now by my own,0
Pls set an alarm for 8 am,0
Remind me to have sex with my girlfriend in two minutes,1
Remind me at 4pm today to work on education,1
Remind me today at 1:40 pm for scooper,1
Morning. Thanks for the reminder....have a great day,0
Remind m tom at 11 to cal prof meena,1
Can you remind me to do German assignments tomorrow please ?,1
Remind me at 3 pm,0
Thanks for this call,1
It would be helpful if you could remind me to leave 45 minutes in advance,1
Remind me @ 2.30pm today,0
Thanks... m about to have!,1
Set a reminder of bathing,0
Thanks for the reminder Karan! :),0
Remind me that i have to whatsapp manju aunty,1
Any alarm tone?,0
Pls remind me to get 2 passport size photo for adhaar work.,1
Do u remember me,0
please remind me after 2 hrs,0
You remind me at 6 pm 4 jan,0
Been busy,0
Hii remind me to download the splendid app,1
Can you help me with weekly reminders of reading something,1
Remember its really important for me .,0
I need a reminder on 10 June 2017 about shilpi birthday,1
Remind me to go office at 12. 30 pm tomorrow,1
Can you remind me to send quote for incastt machines,1
Remind me to go to post office on 12th Jan 2017 at 9 am,1
Please set up 2nd alarm also for me,0
I need repeat alarm in next 5 mins,1
Remind me to take the tickets on 18th January 2017 at 3 pm. Thank you.,1
Remind me the same in an hour please,0
Set it to till 9 pm,0
Thanks Mahesh for reminder,0
Icon finder reminder still pending on 1st of the month,0
please remind the above tomorrow at same time,0
I need regular to remind me,0
Remind me for KEB bill,1
Can you remind me to take my food from the fridge tomorrow,1
Set reminder foe 1.45 pm today,0
Tommorow 1 pm Reminder,0
Could you set it till 12 am?,0
Can you please help me create a schedule for the days,0
Set remi der after 10 min,1
I changed my number so I need all my remainders to be sent to my new number..is that possible,1
Set a reminder for xrd slot on friday,1
Can u set a reminder for the 3rd of feb,0
Jai jinendra Thnx shrdha ji for my today schedule,1
Remind me to write the question paper in the morning,1
Who kept alarm at this time shardha,0
Hey Ples Remind me pop drawing and vanity drg At 1pm,1
Just remind me to collect books at 12:30,1
Remind me tomorrow to collect my marks cards.,1
Another 2 alarms at 8:00am ,1
I know very well about ur haptik how to use but when to use i will decide,1
Remind tomorrow at 11 am about talking to bindu n shiv about the customer complaint.,1
make medic reminder at 11.30 am,0
Set an alarm at 7:30 pm today.,0
Remind me that I should get ready early tomorrow and go to temple in the morning,1
Give me a call @ 8 pm...,1
Remind me to type report at 9 pm today,1
Can you please adjust the schedule,0
Remind me to deposit PPF amount at 3 pm today,1
Plz remind me before every match,0
Can u set this every day,0
Hi,0
Remind me to take puneet construction brief at 12pm,1
Set reminder for insurance payment on 15th February,1
Remind me to go to bank today at 3:00 PM,1
Can you change my reminders,0
Remind me tommorow in morning about my summer training report file submission,1
Remind me on 18th jan 2 atttend seminar dated 19th jan Thursday,0
Can you change the reminder time for tommorow s meeting to 9.30 ?,0
Remind me to buy Gehu today at 1pm,1
why havent uh called me up for my alarm,1
Remind me to take my lab coat at tomorrow morning 8 am,1
Set at 8:30,0
,0
Kindly reschedule the alarm for 7 am,0
Thankyou for the reminder.,0
Call to srinath at 2om,1
Tmrw I go to church at 11.30 pm. Create a schedule,1
Remind me on 13th Jan to meet mr Saboo next day,1
Yeah can i pick up that call...and will some one please say good morning mick have a nice day,1
ILC remainder,0
Can u remember me about to atten alluminai on 3 rd December 9.00 clock am,1
Deactivate all my alarms and reminders.,1
Set reminder at 6 pm tomorrow to go driving classes,1
Hi.. there is a change in schedule.,1
Dish Tv recharge reminder set karna hai,0
I wana set reminder,0
Remind to pay 9009 to Vasanti textiles tomo at 12pm,1
Remind me to take a cake home at 7pm today,1
khushboo could you remind me to eat every 2.5 hours starting from 8am today?,1
Oops need a reminder an hour bfr plz,0
Can you please set me alarm,0
Can you remind me today to wish tony stark a happy birthday,1
Can you set reminder for my friend,1
Reminder on 14th January 9:00 am,0
Ok cn i get a nice song on d call,1
9637521432,0
What reminder?,0
About what?,1
Thanks for reminding all these while,1
Please remind me this Saturday for shopp8ng,0
Please set another reminder,0
make a reminder for me,0
Remind me to take a bath today at 10.45 am,1
now set the birthday at 31st dec time 11:55,0
Remind me at 11.52 for session,1
Remind me to go to 'blue orange',1
Do you know any thing about karol darwaja delhi market?,1
I had requested that reminder alerts be cancelled now,0
Remind to book flight tickets on 1st Dec,1
I want remainder,0
ok so plz remind me evry 2 hours to stay me hydrate,0
You sure I'll get a call?,0
Thank you for calling me,1
Can I set a daily remainder?,0
Schedule it for all days of week,0
Postpone the reminder to tomorrow,0
U reminded me late though,0
Set another remainder at 8 45,0
Thanks for the reminder! Happy new year!!!!😃,0
Ok thanks,0
Actually I need a reminder For everymonth 5th,1
Remind me about asking definite integration,1
Also remind me to complete the BMS OQ from my side at 4PM,1
When you are reminding me.,1
When is ankit birthday deepika,1
Hi shruti,0
Could you remind to Submit IQN,1
Pl.remind me 1) 1st of every month for putting fertilizer in the plants .... 2) 15th of every month for putting organic pesticide for plants.......,1
REMIND ME TO WISH AAHELI ON 18th JANUARY,1
Would you remind one of my friend too?,1
Sir u remember me,0
Remind me to make ShopCJ invoice,1
Keep the reminders alive today. Thanks.,1
Alarm in 2 hours,1
Remind me nitrogen gas filling for car on 28/11/16 at 9am,1
Can you remind me at 9.30Am to do yoga,1
Can u set remainder Sayali for me,0
Remind me to take my Vitamin D tablets every Friday,1
Will u call and inform at the correct time,1
Wrong reminder coming,0
Would you remind me about flight,1
Mam...can you just give me a reminder of tomorrow's tution at 8:15 am,0
Can I set as repeatative?,0
Can u remind me tomorrow at around 12 to pick up my things from the shop,1
Hey! Can u remind me in every 2hour,0
Today i need an reminder for buying bansuri and flag,1
Can you save a reminder for me to play clash royale,1
Remind me of meting on 27th November,1
How will that reminder be??,1
:),0
Remind me at 9 pm to day,1
Set alarm for 8o'clock,0
Remind me to take a shower at 12 45 pm,1
Can u set an reminder,0
Remind me in the next 30 minutes about the abovesaid task,0
tomorrow at 11 am remind me to perder jockey tactel,1
Pls change the reminder,0
Please remind me on 1am for shutdown laptop,1
Need a reminder 15mins before pls,0
Add new reminder,0
Plz make my schedule for tmw,0
Hey ,0
Please remind me everyday for brush,1
Good morning Pourush,0
Can you remind me to right my diary everyday at 11:55 pm,1
Remind me to study 7p's & second unit of BE tomorrow,1
To remind ma'am about the class on 5th,1
Bro I need study reminder daily is it possible,1
Todays is Most importent in My life...... Want u to remind me every year,1
I want to gift a cake to someone,1
Hey,0
Reminder today,0
Remind me to go at Red Cross at 4:30pm in evening 25/11/2016,1
Please set a reminder for me just after 20minutes wat the time is right now,1
Remind to take cet material to cls @ 4 30 pm,1
Can you remind me to go to photo studio for passport size photo. At 12:00pm today,1
Remind me on 12 December,0
Can u remind me that,0
Remind me to pay my axis cc bill,1
9327426063,0
Okay..,0
I want reminder every time when I get new Gmail,0
Need an alarm at 7 PM today,0
Please also remind me to walk every 25 mins,1
For alarm i should on the net,1
You faild to remind me on time,0
Is daily reminder available?,0
Please set a reminder for me to book tatkal at 11.30 am tomorrow,1
Can you connect all my friends list from Facebook and remind me accordingly.,1
Thanks for calling!,1
Is there any such facility that you guys keep calling till the time I answer,1
remind me entire day today to register for courses,1
ReMind me to bring bill book tomorrow,1
Can you remind me d same thing at 5:00 pm tomorrow..?,1
Remind me to say her to bring her ece copy in the colg,1
One more thing can you please remind,0
Please send other reminder details,1
List of reminder,0
To remind me,0
Can you remind me to watch movie,1
Remainder to eat fruit,1
Thanks for remindering me,1
Can you schedule a reminder,0
Hey.. Can you give me a reminder at 1.57 for the next Mi shake shake game..,1
I get reminder only when internet is ON,1
Once again remind me at 8.35,0
Remind me to attend caw 2:45 pm December 15,1
Set a reminder for me,0
How many times you are going to call me for the same,1
I got to Skype with my friend at 8:30 pm can you please remind me that?,1
Remind me to play guitar,1
How will be the "call"?,1
Bro,0
Can you remind my wife tmrw to take her vitamin D injection at 3 pm,1
I want to make reminder,0
Reminder 2 being pomogranet tody at 5pm,1
Maybe later..,0
What about,1
I need the reminder between 4 pm to 11 pm,0
Remind me from tomorrow,0
Ping me later jab m home,0
Please end reminder,0
I want reminders all day,0
About to carry a ring for sivaswamy,1
Details for which reminder?,1
Remind to go for walk n yoga,1
Remind me to come at 8 pm today,1
Thanq. And remove(delete) all previous wakeup calls. Plz.,1
Remind me too mail up my client,1
Call ficci at 11 00 am tomorrow n thereafter call dme,1
Remind me to wish vritz on her birthday which is on 11th november,1
Take chakli from sachin reminder,1
About Insurance refund,1
Remind me to bring hair oil today,1
I have a journey tomorrow night please remind me the same in the morning,0
Please remind me to repair my laptop on Saturday I.e on 03-Dec-2016 at 9:30 AM,1
Remind that maruti car insurance policy will come on Monday at 12 Tell dad about it,1
I would like to set to do list reminder,0
I am late to office,1
2 calls,0
Reminder to Marriage ceremony,1
Remind me for my recharge,1
Need to put in reminders for tom.,1
Remind me tomorrow by 11 about baerlocher endorsements,1
Remind me today at 1700hr to put fashion designer job requirement,1
Remaind me for every 2 hours,0
I want to set a new reminder,0
Will i have two alarms,1
K. Thank you so much for your remainder,0
Did you set the target?,0
Plz remind me again at 2:30,0
Remind me at 9Pm to buy a fill for FM-2,1
Tanushree... plz remind me at proper hour,0
Can u please remind me to charge my phone at 3:30pm,1
Heyya listen .... I need to know about something,1
Just remind me to tune the channel of TV @ 9:00pm,1
Do I have any reminder for today?,0
Ya I know but remind me to go jacking ok,1
Please close the reminder,0
Remind me at 9 pm today of it return of Nextgen employee,1
7:00,0
Remind me to move cupboard today at 9:30pm,1
Will discuss in evening,1
set me an alarm on 8:00am on 28-12-16,0
I already told about reminder of hr mantra app,1
Hi gm,0
Remind me to go to gym today at 5:34 pm,1
can you suggest me the application for schedule silent mode n general mode,1
What is the reminder I have set?,1
U haven't called me right???,0
N one more reminder I wanna set for 5:10am 26 december,0
Can you please put this as a reminder for 7th dec 12pm again please,0
Can you remind me to replace my lenses on 19th December,1
set remider,0
Remind me to keep the pass back at 2.00 pm tomorrow (19th November),1
Remind me bro bday at 11am today,0
Remind me for economics notes at 2:50PM today,1
Remind me to take a book for assinment today at 12:00 pm ok,1
Set reminder on 5th December for visiting doctor on 6th December at Park clinic,1
Repeat alarm at 8 am please,1
And also remain me on Friday 10 am about medical bill,1
Remind me same at 10.40pm today,0
At least there should be notification popup because how would i get the reminder that i have to do something,1
Remind me to ask simar to do 10 maths questions and learn square root table,1
Also remind me to mail the presentation to Bloomberg tomorrow at 11 am,1
Can u remind me on Monday at 1100 am to ask muthu on confirmation for the training,1
Reminder for ticket booking,1
Remind me tommorow to write jaasa uncle's 2000 rupees at 12 pm,1
Can you remind me for tomorrow,0
Set a reminder for 4pm also Medical check up,1
i have problem with 11:58pm reminder please remoe it,1
Reminder for study time,1
Pls remind me to that I need to submit my documents tmw mng,1
Okay thank you... That will be total 2 reminders is it?,1
Please remind me to get ioning cloths at 730 pm today evening,1
Remind me tomorrow about buying pen for taran with bill. At 9 am.,1
Remind me to go to dad's shop @ 2:30 pm,1
Tomo evening at 4.30 pm remember me i should go to near basavana bhavan,1
remind me to watch baar bar dekho at 8.00 pm today,1
Hello,0
Please remind me to do payment of credit card today at 10:10 am,1
i need a reminder in tamil,0
please remind me to open crystals at 1655 hours,1
Via call?,1
Edit my reminder,0
Remind me in 12:50pm,0
Add some more reminders,1
Remind me to book tickets today,1
I want to remind to my wife birthday,1
i will stopped reminder...,0
Alert tone?,0
Set me a reminder after 12 minutes,0
Can u remind me every day that i have punch in at zinger at 9:45 am ??,1
Ya sure you can,0
Everyday,0
If my provided number will be out of reach den plz make me a call on 8804033000,1
Set Alarm from 10:400AM to 10:50AM,0
Also remind me to book ticket of partha on 3rd Jan at 09:30,1
Add a reminder on 24th nov at 3.30 at meet Mr. Oak,1
And remind me to check mi store,1
How can i set reminders,0
I want to change my child name from kanishk to kanishk lodha in birth certificate tell me procedure for Tamil nadu Chennai Wat is easiest way,1
Please call.me on 10 Nov,0
Give a cll to me at 4pm today to remind me to buy smthing,1
Any upcoming events?,1
remind me 9pm,0
Hi,0
Today I have set a reminder at morning 9 am,0
Thank u for remember me,0
My reminder came late,0
Does haptik send me reminders from a single mobile number?,1
But call on above mention number just said recharge,1
Remind me to buy eggs at 6 pm today,1
My reminder of march 18th 2017,0
Cud u make it hydrating reminder frequency by hour,0
I want to set it as yearly reminder,0
Thanks man...i ll let you know in case of any assistance,1
K thks remember with me,0
I said except on sunday I need a daily alarm at 7:05 AM,0
Remind me to collect headpone today at 5pm,1
Plz remind me to eat something at 7pm,1
Please dismiss all my reminders,1
Remind me today at 8:00 pm to make note,1
Can I set reminder for another phone from this phone?,1
Remind on Monday to call Vivin at 11 am,1
I also need a general reminder to upload the documents at 11.30 am,1
Please remind me that I have a flight from Chandigarh to Pune tomorrow at 1430 hours,1
Change the frequency of reminder,0
Alarm same time this morning please?,0
Can you remind me whenever JEE and Gujcet exam online application starts??,1
Whats that reminder for,0
Remind me at 4:20 pm,0
Reminders for every month,1
Tell me about best and safe file sharing app,1
Pls remind for go to garden at 430pm,1
Please do setup reminder,0
Surely,0
How could uhh remind me,0
Second d reminder today 830 pm for the same,0
Remind for RO service,1
Call me immediately,1
Pls remind on 7th Jan 2017 at 11am for filling hallticket of nmis,1
Remind me for purchase of pillows at 5 pm today,1
Ok can you schedule the same task for 2:45 pm today,1
Every Saturday at 9 pm,1
I need a reminder,0
Reminder on another number,1
Remind me about Lenskart,1
Phone call,1
Will u plz set a reminder for me,0
I need a reminder after 56 days,0
Please remind me morrow at 5.15,0
